p_m=Param m,p_s=Param s,n=Gen (#),t=Time (s),m=Mass (mg),g=Growth (mg/s),r=Gyradius (mm),d=Mass-growth distance (mm),s=Speed (mm/s),w=Angular speed (deg/s),m_a=Mass asymmetry (mg),x=X position(mm),y=Y position(mm),l=Lyapunov exponent,k=Rotational symmetry,w_k=Rotational speed
0.231,0.0565,814,159.625,31.06880761474984,15.655932414997078,2.616881921045496,0.34853374237909757,0.02812513016789753,-67.14778348175832,-0.6661119578029411,-28.25779318961265,140.5957977948299,0,0,0
0.231,0.0565,815,159.875,31.135677275441868,16.19773975009045,2.630094230494837,0.33729557988025155,0.025069891515785547,140.24980272998573,2.1971749083984604,-28.2771448694572,140.47195111945052,0,0,0
0.231,0.0565,816,160.125,31.331400174845047,17.52744170283527,2.6469770778056345,0.1923514190882625,0.012443963251420496,412.7370062587768,0.6822462554818504,-28.334807518474665,140.4953247037575,0,0,0
0.231,0.0565,817,160.375,31.578489612810763,18.737873111249655,2.6649658968720544,0.11532984804865665,0.05649827217472806,-94.56667811162424,1.5323198369866622,-28.617191955494057,140.48755304386506,0,0,0
0.231,0.0565,818,160.625,31.68044450861532,18.36802963585213,2.6823513734904734,0.4596551911143783,0.12281024940264809,-103.16773381425128,1.1486427178371172,-29.16251184701584,140.20526746175153,0,0,0
0.231,0.0565,819,160.875,31.604962290591676,16.373246355093794,2.684488820835999,0.49771623841694923,0.23022789642968897,45.70375693497044,1.2823188120949134,-30.269376199316802,139.88908173632046,0,0,0
0.231,0.0565,820,161.125,31.638777233823312,16.313783943222173,2.6900664405653867,0.5208340193381747,0.23585897875423273,32.65921976257641,1.2668511604971742,-31.437822382422556,139.72948861723216,0,0,0
0.231,0.0565,821,161.375,31.614798452177308,15.563269634505543,2.6920567119525844,0.48684056930910724,0.21520031025360015,1.7238015025150162,1.0698796600786364,-32.50499052492673,139.59189685165254,0,0,0
0.231,0.0565,822,161.625,31.57708566418938,14.639964742405379,2.691154344285777,0.43703060603598665,0.18823329014344645,-11.410515402246801,0.9209588805426688,-33.43128433486802,139.42524132183087,0,0,0
0.231,0.0565,823,161.875,31.505059291605047,13.539030908880964,2.6881774352656054,0.41013427953482157,0.16713957677713606,-18.85441002697371,0.4818125615971303,-34.23883422232971,139.21017358275407,0,0,0
0.231,0.0565,824,162.125,31.43585122143879,12.604686974979932,2.6840320142335314,0.3777633948987923,0.19239268298648105,-8.837390424614568,0.06280902312960734,-35.15816202916463,138.926959890909,0,0,0
0.231,0.0565,825,162.375,31.355499190221853,11.986615159159857,2.6760807262086197,0.43135916676937025,0.38778056997392907,-175.5838045005121,1.0626740821791076,-36.09762087410575,137.2308580838542,0,0,0
0.231,0.0565,826,162.625,31.331609372495315,11.530386025549626,2.6690100061323805,0.502017146790799,0.3831225417684105,3.9246423560348376,0.9682924290521759,-37.0543534069512,135.57126930621308,0,0,0
0.231,0.0565,827,162.875,31.364305895527792,11.318690344841139,2.6577573673112433,0.617432765293608,0.5760408397226401,-40.47937028240858,1.3440521567297834,-38.032024969807466,132.86207486119972,0,0,0
0.231,0.0565,828,163.125,31.37784075858056,11.212796802436058,2.6381441566497683,0.6541553965693315,0.7493092776556863,-19.553804508464054,1.062761182949123,-38.99883637880434,129.2424221791105,0,0,0
0.231,0.0565,829,163.375,31.408634278586504,11.164336355383657,2.617342464949942,0.6802000558417495,0.6947741989388512,-68.00575125896512,0.24090681306200395,-38.874763617226414,125.77076758257984,0,0,0
0.231,0.0565,830,163.625,31.466716756131767,11.271105390724097,2.5838862077683675,0.595688939754734,1.001523982287931,4.880731252771966,0.15118840351953167,-38.802519258510586,120.7636688288023,0,0,0
0.231,0.0565,831,163.875,31.712646542226192,12.116867640133687,2.5440560566014736,0.45274411319797037,1.0252898634610934,7.20181208576696,0.11211357836761181,-38.88964648926917,115.63795995601582,0,0,0
0.231,0.0565,832,164.125,31.77310762960443,11.49077318097849,2.5133213439250386,0.3324792946304277,0.8612377466187624,-13.138427876960122,-0.3342908746047078,-38.716021707338896,111.33527290719113,0,0,0
0.231,0.0565,833,164.375,31.97100605511534,11.5949562687005,2.4917160590017127,0.28909809794563873,0.6698802739597682,2.2155261470747973,-0.4722900963071379,-38.613332754573776,107.98744607251308,0,0,0
0.231,0.0565,834,164.625,32.202575577423225,12.175432498040532,2.4715365278443375,0.22697192765927152,0.7833389264791562,6.875562366687063,-0.36931006644981834,-38.61073441118082,104.07075230199061,0,0,0
0.231,0.0565,835,164.875,32.44575689015713,12.188284039885334,2.4596199505974914,0.23493070907461508,0.5553180821891573,-1.5261421479608543,-0.5532779410710554,-38.590403138782285,101.29423632877548,0,0,0
0.231,0.0565,836,165.125,32.52588118036849,10.834640700047698,2.4496140746202753,0.3540972477689275,0.5191654918174673,-2.5838034572880133,-0.7326845868576334,-38.542132815995444,98.69885771029034,0,0,0
0.231,0.0565,837,165.375,32.572948647122786,9.708119525523902,2.4407397491024887,0.47900077394328444,0.5771876986673852,1.799490579363919,-0.7821377666575927,-38.51112497322564,95.8130858029819,0,0,0
0.231,0.0565,838,165.625,32.620144447955326,8.83274001110733,2.4345854433404845,0.6141599698128973,0.540448774460541,-1.0047767477840353,-0.8408498430696727,-38.470244745599864,93.1111511715767,0,0,0
0.231,0.0565,839,165.875,32.63699828389072,8.09620178502452,2.4331923493652106,0.7231683016574566,0.3186402049946251,-2.2030473838358375,-0.9342642335407345,-38.43083068389239,91.518437751744,0,0,0
0.231,0.0565,840,166.125,32.60583206802616,7.52567700477907,2.433810624053722,0.7856632589308455,0.2804759984615789,-2.5418759993326603,-1.044690565099054,-38.38059070659346,90.11695796683576,0,0,0
0.231,0.0565,841,166.375,32.50157568042616,7.155039184687741,2.4362835125216002,0.8178914648079499,0.14471978729053034,-3.2771999530127687,-1.1168888694546513,-38.34433047657271,89.3942681187306,0,0,0
0.231,0.0565,842,166.625,32.35670988079901,6.848235165876239,2.439661254613641,0.8411432410232023,0.14991208171813053,5.434953297337415,-1.0313193588830836,-38.32453127621947,88.64496924792405,0,0,0
0.231,0.0565,843,166.875,32.17831913226255,6.601034220420083,2.444323552520225,0.8502408312597877,0.1512971396640933,0.03142685801549305,-1.0219153242056587,-38.30465284588319,87.88874477082035,0,0,0
0.231,0.0565,844,167.125,31.970151226989156,6.447100945933933,2.450112187227205,0.8414611383659407,0.15811319238367177,-1.16783096381414,-1.037767229130227,-38.2798521283481,87.09856791431692,0,0,0
0.231,0.0565,845,167.375,31.755188526528556,6.396703643480854,2.4576466692578234,0.7908991183835647,0.016303008166437667,-58.29411491811652,-0.8617435074310492,-38.25687630765217,87.02035785393322,0,0,0
0.231,0.0565,846,167.625,31.523158227053333,6.434788885204191,2.465129129170914,0.6870791040441037,0.030977012381298505,35.11339376571004,-1.0882194817610775,-38.23641081479844,86.86683083349698,0,0,0
0.231,0.0565,847,167.875,31.276140547635805,6.288723464095681,2.471083622560062,0.6487935946105988,0.19014343953386167,27.844506910322252,-0.9870364043014342,-38.22592805571434,85.91617142986907,0,0,0
0.231,0.0565,848,168.125,30.99479038252589,6.124267146023004,2.4770796052852813,0.5974001442695193,0.1995188258526635,-0.9219587782672534,-1.0121025823916374,-38.21091564219285,84.91869026504394,0,0,0
0.231,0.0565,849,168.375,30.67068549176539,6.177386766676632,2.481678665063775,0.4776438888185908,0.2174978820854654,5.473897045091235,-1.0170516955316975,-38.22052369818083,83.83124329941678,0,0,0
